id;gemeentenaam;inwoneraantal;koolstofdioxide_uitstoot_heden;stifstofdioxide_uitstoot_heden;fijnstof_uitstoot_heden;koolstofdioxide_uitstoot_inwoner_km2;stifstofdioxide_uitstoot_inwoner_km2;fijnstof_uitstoot_inwoner_km2
;Aa en Hunze;25386;69117868,4;10200,11;185098;2722,68;0,401800599;7,291341684
;Aalsmeer;31724;29762957,9;4883,61;85359;938,18;0,15394055;2,690675829
;Aalten;27007;30717876,2;4795,77;82820,7;1137,40;0,177575073;3,066638279
;Achtkarspelen;27871;30865188,6;4822,71;86719,6;1107,43;0,173036848;3,111463528
;Alblasserdam;20060;31064024;4812,17;82189;1548,56;0,239888833;4,097158524
;Albrandswaard;25292;23127242,3;3728,97;61403,7;914,41;0,147436739;2,427791396
;Alkmaar;108578;143198862,5;22645,51;373458;1318,86;0,208564442;3,439536554
;Almelo;72883;124234329,6;18946,87;315406;1704,57;0,259962817;4,327566099
;Almere;207819;263527519,1;40181,4;636369;1268,06;0,193348058;3,062130989
;Alphen aan den Rijn;111036;131322000,2;20896,94;345160;1182,70;0,188199683;3,108541374
;Alphen-Chaam;10139;18836131,51;2862,02;50789,8;1857,79;0,282278331;5,009350035
;Altena;54450;136063530,5;19721;359474;2498,87;0,362185491;6,601910009
;Ameland;3674;2168774,82;348,032;5595,39;590,30;0,094728361;1,522969516
;Amersfoort;156294;299197410,2;44954,2;760068;1914,32;0,287625885;4,863065761
;Amstelveen;90827;109573391,5;17421,84;275750;1206,40;0,191813448;3,0359915
;Amsterdam;863202;738342234;118142,4;1744310;855,35;0,136865299;2,020743696
;Apeldoorn;162456;431802078,1;64036,6;1111480;2657,96;0,394178116;6,841729453
;Appingedam;11713;13820603,79;2159,237;34631,3;1179,94;0,184345343;2,956654999
;Arnhem;159277;363190320,9;54837,9;939371;2280,24;0,344292647;5,897719068
;Assen;67970;105710895,3;16392,93;262269;1555,26;0,241178902;3,858599382
;Asten;16714;72349163,54;10539,42;213835;4328,66;0,630574369;12,79376571
;Baarle-Nassau;6848;8195553,73;1269,939;21885,4;1196,78;0,1854467;3,195882009
;Baarn;24764;69563689,9;10256,15;170964;2809,07;0,414155629;6,903731223
;Barendrecht;48688;109425566,8;15829,33;270858;2247,49;0,325117688;5,563136707
;Barneveld;57960;213175977,4;30970,7;557012;3677,98;0,534346101;9,610282954
;Beek;15927;57191799,71;8275,03;144714;3590,87;0,519559867;9,086080241
;Beekdaelen;36124;71998563,3;10775,46;177364;1993,09;0,298290887;4,909866017
;Beemster;9748;71869627,86;10078,13;183993;7372,76;1,033866434;18,87494871
;Beesel;13526;29927516,11;4362,55;78160,6;2212,59;0,322530682;5,778545024
;Berg en Dal;18497;31083587;5134,07;75926;1680,47;0,277562307;4,104773747
;Bergeijk;13134;27891047,1;4463,66;76981,2;2123,58;0,339855337;5,861215167
;Bergen (L.);29913;21109445,63;3202,92;58269,8;705,69;0,107074516;1,947975796
;Bergen (NH.);66805;34839848,8;5636,64;82504,3;521,52;0,084374523;1,235001871
;Bergen op Zoom;34766;117925494,1;17905,84;305916;3391,98;0,515038831;8,799286659
;Berkelland;43899;59425561,1;9195,79;164575;1353,69;0,20947607;3,748946445
;Bernheze;30802;108738117,7;15684,59;285648;3530,23;0,50920687;9,273683527
;Best;29823;83319046,6;12285,71;211899;2793,78;0,411954196;7,105220803
;Beuningen;25896;95018105,9;13601,42;246185;3669,22;0,525232468;9,506680568
;Beverwijk;41168;52490681,6;8172,6;125791;1275,04;0,198518267;3,055552857
;Bladel;20175;45509135,4;6819,72;129053;2255,72;0,338028253;6,396679058
;Blaricum;11198;25632722,09;3700,29;63064,4;2289,04;0,330442043;5,631755671
;Bloemendaal;23409;22404568,9;3880,77;53315,8;957,09;0,16578111;2,277577
;Bodegraven-Reeuwijk;34470;172143769,8;24237,3;438467;4994,02;0,703141862;12,72024949
;Boekel;10587;7615235,31;1236,333;21177,1;719,30;0,116778407;2,000292812
;Borger-Odoorn;25359;47553110,4;7202;124552;1875,20;0,284001735;4,91155014
;Borne;23213;52584943,6;7669,29;133334;2265,32;0,330387714;5,743936587
;Borsele;22801;45867717,1;6708,93;129733;2011,65;0,294238411;5,689794307
;Boxmeer;29059;102306459,1;14836,46;272602;3520,65;0,510563337;9,380983516
;Boxtel;30738;105146406,4;15057,4;263663;3420,73;0,489862711;8,57775392
;Breda;184069;403434923,4;60244;1041120;2191,76;0,32729031;5,656139817
;Brielle;17184;26604519,85;4110,58;68493,5;1548,21;0,23920973;3,985888035
;Bronckhorst;36219;57004340,5;8761,99;153281;1573,88;0,24191695;4,232060521
;Brummen;20672;30413764,41;4676,25;84917,4;1471,25;0,226211784;4,107846362
;Brunssum;28121;35606508,2;5745,08;85921,1;1266,19;0,204298567;3,055406991
;Bunnik;15188;69161362,7;9809,6;171322;4553,68;0,645878325;11,28008954
;Bunschoten;21588;21881304,85;3552,44;57212,1;1013,59;0,164556235;2,650180656
;Buren;26578;39796402,4;6007,97;104978;1497,34;0,226050493;3,949808112
;Capelle aan den IJssel;66822;56659169,1;9632,38;136317;847,91;0,144149831;2,040001796
;Castricum;35754;52035717,4;7836,8;122432;1455,38;0,219186664;3,424288192
;Coevorden;35497;91004274,9;13295,06;243853;2563,72;0,374540384;6,869679128
;Cranendonck;20436;53758554,99;7860,43;139013;2630,58;0,384636426;6,802358583
;Cuijk;24931;77549305,3;11281,66;203271;3110,56;0,452515342;8,153343227
;Culemborg;28544;44603587,7;6632,79;113664;1562,63;0,232370726;3,98206278
;Dalfsen;28487;49983343,3;7653,1;140457;1754,60;0,268652368;4,930564819
;Dantumadiel;18930;20769350,74;3229,83;53327,9;1097,17;0,170619651;2,817110407
;De Bilt;42809;103869025,2;15207,16;255657;2426,34;0,355232778;5,97203859
;De Fryske Marren;51442;151600320;21848,42;391596;2947,01;0,42471949;7,61237899
;De Ronde Venen;44064;128624224,2;18749,11;336121;2919,03;0,425497231;7,628018337
;De Wolden;24116;88258236,1;12615,87;233189;3659,74;0,523132775;9,669472549
;Delft;103217;132429977,2;20135,51;325466;1283,02;0,195079396;3,153220884
;Delfzijl;24709;25638766,2;4173,14;69137,8;1037,63;0,168891497;2,798081671
;Den Helder;55600;39997822,7;6952,09;97753,3;719,39;0,12503759;1,758152878
;Deurne;32354;70686984,6;10681,22;205606;2184,80;0,330135996;6,354886567
;Deventer;99941;186822794,7;28614,8;495159;1869,33;0,286316927;4,954513163
;Diemen;29205;68718063,2;9926,43;165861;2352,96;0,339888033;5,679198767
;Dinkelland;26340;49618112,7;7518,56;129820;1883,76;0,285442673;4,928625664
;Doesburg;11142;9665772,27;1556,958;24984,3;867,51;0,139737749;2,242353258
;Doetinchem;57543;89682423,1;14153,76;229917;1558,53;0,245968406;3,995568531
;Dongen;26061;16636659,6;2859,51;42536,4;638,37;0,109723725;1,632186025
;Dordrecht;118667;187513462,8;28668,7;498077;1580,17;0,24158949;4,1972663
;Drechterland;19604;24050962,34;3755,34;63907,7;1226,84;0,191559886;3,259931647
;Drimmelen;27162;57063480,7;8386,18;147238;2100,86;0,308746779;5,42073485
;Dronten;40797;87615767,6;13123,23;245382;2147,60;0,321671446;6,014706964
;Druten;18790;25870387,46;3958,42;70446,5;1376,82;0,210666312;3,749148483
;Duiven;25339;60026732,2;8913,4;154132;2368,95;0,351766052;6,082797269
;Echt-Susteren;31646;116190171;16832,28;298194;3671,56;0,531892814;9,42280225
;Edam-Volendam;36094;35977407,4;5663;96166,4;996,77;0,156895883;2,664332022
;Ede;115732;281110984,8;41098,6;712571;2428,98;0,355118723;6,157078423
;Eemnes;9117;72270982,27;10047,25;174934;7927,06;1,102034661;19,18767138
;Eersel;19111;64058112,63;9310,68;176809;3351,90;0,487189577;9,25168751
;Eijsden-Margraten;25654;36298556,3;5457,01;95761,1;1414,93;0,212715756;3,732794106
;Eindhoven;231469;408666033;63539,8;1068730;1765,53;0,274506737;4,617162557
;Elburg;23087;52353447,7;7696,92;135604;2267,66;0,333387621;5,873608524
;Emmen;107111;134403180,2;21710,19;345729;1254,80;0,202688706;3,227763722
;Enkhuizen;18510;10833611,68;1804,163;28386,8;585,28;0,097469638;1,533592653
;Enschede;158961;156424293,7;25564,4;400274;984,04;0,160821837;2,518064179
;Epe;33151;89961097,8;13057,37;232249;2713,68;0,3938756;7,00579168
;Ermelo;26855;54282237,1;8248,34;141394;2021,31;0,307143549;5,2650903
;Etten-Leur;43786;80144983,8;12146,18;202399;1830,38;0,277398712;4,622459234
;Geertruidenberg;21515;73068745,1;10614,71;188434;3396,18;0,493363235;8,758261678
;Geldrop-Mierlo;39588;74487362,9;11420,95;201762;1881,56;0,288495251;5,096544407
;Gemert-Bakel;30458;39258115,1;6113,37;110506;1288,93;0,200714755;3,628143673
;Gennep;17072;25982605,93;3930,78;68347,7;1521,94;0,230247188;4,003496954
;Gilze en Rijen;26451;73041377,8;10548,83;192427;2761,38;0,398806472;7,274847832
;Goeree-Overflakkee;49610;100287892,1;14829,44;265191;2021,53;0,298920379;5,345515017
;Goes;37654;88733543,2;13042,56;222516;2356,55;0,346379136;5,909491687
;Goirle;23780;19099896;3194,46;49575;803,19;0,134333894;2,084735071
;Gooise Meren;57709;197484738,2;28498,9;475789;3422,08;0,49383805;8,244623889
;Gorinchem;36679;95057081,3;13899,98;254245;2591,59;0,378962894;6,931623
;Gouda;73161;38427766,4;6970,57;91083,8;525,25;0,095277129;1,244977515
;Grave;12478;13523297,46;2082,196;36811,6;1083,77;0,16686937;2,950120212
;Groningen;231354;264074071;42053,9;650099;1141,43;0,181772954;2,80997519
;Gulpen-Wittem;14258;20640584,34;3290,68;52931,8;1447,65;0,230795343;3,712428111
;Haaksbergen;24270;30760142,9;4832,28;82675,2;1267,41;0,199105068;3,406477132
;Haaren;14192;26621721,81;4019,78;70061,7;1875,83;0,283242672;4,936703777
;Haarlem;161213;95812387,6;17027,94;229108;594,32;0,105623864;1,4211509
;Haarlemmermeer;154223;705327101,9;101675,6;1760480;4573,42;0,659276502;11,41515857
;Halderberge;30191;50438201,4;7508,11;133080;1670,64;0,248687026;4,40793614
;Hardenberg;60575;109003291,9;16565,22;306051;1799,48;0,273466281;5,052430871
;Harderwijk;47572;92240438,1;13840,86;238944;1938,96;0,290945514;5,022786513
;Hardinxveld-Giessendam;18053;69021953,82;9871,6;182009;3823,30;0,546812164;10,08192544
;Harlingen;15758;16766393,14;2594,8;44584,5;1063,99;0,164665567;2,829324787
;Hattem;12170;62264513,56;8827,02;163110;5116,23;0,725309778;13,40262942
;Heemskerk;39159;39669585,9;6234,67;90153;1013,04;0,159214229;2,302229373
;Heemstede;27278;18078474,8;3329,01;47766,9;662,75;0,122040106;1,751114451
;Heerde;18549;55919990,98;8050,99;143214;3014,72;0,434039032;7,720847485
;Heerenveen;50252;126892811;18563,13;313857;2525,13;0,36940082;6,245661864
;Heerhugowaard;56749;64399231,7;10645,87;164070;1134,81;0,187595729;2,891152267
;Heerlen;86826;140355552;22025,7;360895;1616,52;0,253676318;4,156531454
;Heeze-Leende;15965;57455749,72;8304,16;152937;3598,86;0,520147823;9,579517695
;Heiloo;23459;31103610;4822,57;72995;1325,87;0,205574406;3,11159896
;Hellendoorn;35812;44152516,2;7171,79;111128;1232,90;0,200262203;3,103093935
;Hellevoetsluis;40041;38296780,2;6025,8;93301,8;956,44;0,150490747;2,330156589
;Helmond;91535;90267205,3;15217,92;259654;986,15;0,166252472;2,836663571
;Hendrik-Ido-Ambacht;30962;43481245,6;6677,36;110699;1404,34;0,215663071;3,575318132
;Hengelo;80660;121346493,3;18952,22;305641;1504,42;0,234964295;3,789251178
;Het Hogeland;49819;53155842,2;8305,1;134944;1066,98;0,166705474;2,708685441
;Heumen;16483;46958279,98;6921,53;119979;2848,89;0,419919311;7,278954074
;Heusden;44107;86758282,5;12882,86;220434;1967,00;0,292081982;4,997710114
;Hillegom;21963;13930220,4;2407,178;37624,6;634,26;0,109601512;1,713090197
;Hilvarenbeek;15330;28495043,15;4321,78;76625,4;1858,78;0,281916504;4,998395303
;Hilversum;90198;93107591;15304,08;234131;1032,26;0,169672055;2,595744917
;Hoeksche Waard;89690;160514192;23826,43;429652;1789,66;0,265653139;4,790411417
;Hof van Twente;34946;54121381,4;8408,36;147100;1548,71;0,240610084;4,209351571
;Hollands Kroon;47802;128697578,7;18611,23;331379;2692,31;0,389339986;6,932325007
;Hoogeveen;55678;129653051,9;19221,77;340445;2328,62;0,345230971;6,114533568
;Hoorn;73037;50134734,4;8610,35;122145;686,43;0,117890247;1,672371538
;Horst aan de Maas;42293;100193784;14826,56;267507;2369,04;0,350567706;6,325089258
;Houten;49902;62292196,8;9228,55;158683;1248,29;0,18493347;3,179892589
;Huizen;41280;37685319,7;6275,57;90612,6;912,92;0,152024467;2,195072674
;Hulst;27523;31683992,7;5033,48;85713,9;1151,18;0,18288268;3,114264433
;IJsselstein;34162;26937874,9;4390,34;71571,2;788,53;0,128515309;2,095052983
;Kaag en Braassem;26861;99725072,8;14352,06;266156;3712,63;0,534308477;9,90864078
;Kampen;53787;72906524;11247,96;190655;1355,47;0,209120419;3,544629743
;Kapelle;12804;38248057,37;5448,15;94766,7;2987,20;0,425503749;7,40133552
;Katwijk;65312;40164318,1;6833,46;107212;614,96;0,10462794;1,641536012
;Kerkrade;45643;38953093,3;6445,67;94129,5;853,43;0,141219245;2,06229871
;Koggenland;22736;79282749,7;11442,29;198543;3487,10;0,503267505;8,732538705
;Krimpen aan den IJssel;29353;12122157,3;2235,485;29663,5;412,98;0,076158655;1,010578135
;Krimpenerwaard;56043;64197542,3;9939,54;180511;1145,51;0,177355602;3,220937494
;Laarbeek;22334;39073806,1;6078,43;115137;1749,52;0,272160383;5,155234172
;Landerd;15523;61263860,92;8825,53;167854;3946,65;0,568545384;10,81324486
;Landgraaf;37596;27962987,1;4712,84;66666,7;743,78;0,125354825;1,773239174
;Landsmeer;11498;9927929,63;1782,461;24054,5;863,45;0,155023569;2,092059489
;Langedijk;27986;23077658,1;3749,65;57058;824,61;0,133983063;2,038805117
;Lansingerland;61617;83098606,2;12857,31;214608;1348,63;0,208664979;3,482934904
;Laren;11198;45733155,78;6556,76;112084;4084,05;0,585529559;10,00928737
;Leeuwarden;123114;180400588,4;28731;459844;1465,31;0,233369073;3,735107299
;Leiden;124797;128352727,4;21024,22;333865;1028,49;0,168467351;2,67526463
;Leiderdorp;27122;46471152;7069,68;120835;1713,41;0,260662193;4,455239289
;Leidschendam-Voorburg;75405;123839131,2;18712,71;305263;1642,32;0,248162721;4,048312446
;Lelystad;77872;246296289,4;35793,2;631090;3162,84;0,459641463;8,10419663
;Leudal;35671;108600211,6;15969,71;289335;3044,50;0,447694486;8,111210787
;Leusden;30028;62824101;9485,75;161713;2092,18;0,31589683;5,385406954
;Lingewaard;46466;38791043,8;6310,99;102174;834,83;0,135819524;2,198898119
;Lisse;22807;17885803,3;2865,12;47171;784,22;0,125624589;2,068268514
